Gene.symbol	P.Value	logFC
Ifnz	0.508	-0.09676481
Tmprss12	0.508	-0.0721889
Dnah3	0.508	-0.07695003
Nudt17	0.508	-0.06358233
Ppp2r5c	0.508	0.11037785
Cnbp	0.508	0.12758449
Asb7	0.508	0.08605261
4932438A13Rik	0.508	0.08289824
Gtf2h4	0.508	-0.06005236
Mcm8	0.508	0.08000975
Ccl4	0.509	-0.05944397
Morn1	0.509	-0.07067412
Olfr25	0.509	0.04789294
Gm12070	0.509	-0.04219876
G3bp2	0.509	-0.07535797
4930470P17Rik	0.509	0.07354342
Tmem25	0.509	0.11394485
Gm10787	0.509	0.068633
Rnf148	0.509	0.05057014
Myocd	0.509	-0.07247486
A530017D24Rik	0.509	-0.0752901
Olfr1148	0.509	0.14374157
Hgd	0.509	-0.05009353
Ap3s1	0.509	0.08902467
Mns1	0.509	-0.06578741
Cacna1d	0.509	0.05656911
Dazap1	0.509	-0.06463859
Aqp4	0.51	-0.12857375
Rnpepl1	0.51	0.12300654
5730559C18Rik	0.51	-0.08420909
Trav3n-3	0.51	0.08270554
Trav3n-3	0.51	0.08270554
Met	0.51	-0.08909978
Gm13582	0.51	-0.06766777
Usp36	0.51	0.06091418
Ndnl2	0.51	0.05390602
St3gal1	0.51	0.11907898
Apol7e	0.511	-0.05942991
Ctsr	0.511	-0.06519288
Gm4952	0.511	-0.08072632
Stxbp1	0.511	0.05289811
Papd5	0.511	-0.06015869
Nr2f2	0.511	-0.09679546
Trav12n-1	0.511	0.0934591
Ncald	0.512	0.06055355
Olfr1272	0.512	-0.05451582
Zfp35	0.512	0.06188014
Apon	0.512	-0.07357176
Ptpn20	0.512	0.04739586
Rtl1	0.512	-0.08671853
Mtmr2	0.512	-0.05188601
Heatr3	0.513	-0.08274072
Tmprss9	0.513	-0.06431792
Tapbpl	0.513	0.04744218
Csn3	0.513	-0.05410801
Spatc1l	0.513	-0.07846373
Gm5600	0.513	-0.08433532
Olfr857	0.513	-0.07280911
Slc16a4	0.513	0.07048113
Cpsf4	0.513	0.05388477
Trmt61b	0.513	-0.04548115
Alyref	0.513	-0.06346679
Cage1	0.513	0.05222751
Olfr251	0.513	-0.04424458
Slitrk1	0.513	-0.07708927
Gm13363	0.514	0.07054956
Fbxw13	0.514	-0.0567095
D130020L05Rik	0.514	-0.06978309
Lce1a2	0.514	-0.07864109
Olfr986	0.514	-0.05509068
1700129C05Rik	0.514	-0.05796182
Hopx	0.514	-0.06218158
Henmt1	0.514	-0.04540028
Sun1	0.514	0.07527254
Mettl21b	0.514	0.06880935
Mark3	0.514	-0.05263412
Lmo3	0.514	0.04197718
Dnah10	0.514	-0.08265124
Ube2s	0.514	-0.05651289
Ufsp1	0.515	0.10312604
Adamts14	0.515	-0.05503008
Lypd2	0.515	-0.07313347
Gm1123	0.515	-0.0592282
Kcnmb3	0.515	-0.07668096
Aptx	0.515	0.05757066
Nat8f2	0.515	-0.0576178
Phf13	0.515	0.04931869
Rprl1	0.515	-0.10533168
Gprc5a	0.515	-0.08462462
Hrh4	0.516	-0.06914934
Rps6kl1	0.516	-0.0752798
Lrriq1	0.516	-0.05271428
BC005685	0.516	0.11553731
Rel	0.516	0.0961812
Nova1	0.516	0.10240346
Olfr284	0.516	-0.06916486
Pcdhb11	0.516	0.08412142
Trav3n-3	0.516	-0.06849229
Vmn1r50	0.516	-0.06816984
Smug1	0.516	-0.05304784
Eif2s3y	0.517	-0.08946975
Rnf19b	0.517	0.06920632
Mrgprb13	0.517	-0.08516502
Zfyve19	0.517	-0.06635195
Vmn2r51	0.517	-0.0525646
Vmn2r60	0.517	-0.101978
Nat8f6	0.517	0.06856643
Abca7	0.517	-0.05413235
Cnot10	0.517	0.05763066
Trp73	0.517	0.05605718
4933407E24Rik	0.517	-0.07484248
Gm14781	0.517	-0.05074266
D430042O09Rik	0.517	0.06397201
Gm13363	0.517	0.06744886
Fam101a	0.517	-0.07571438
4430402I18Rik	0.518	-0.08203257
Izumo1	0.518	-0.05743611
Olfr1499	0.518	-0.05743502
A130006I12Rik	0.518	-0.06175238
Ino80	0.518	0.12103182
Ms4a1	0.518	-0.06850461
Olfr883	0.519	0.07794303
Brd7	0.519	0.04844579
1810065E05Rik	0.519	-0.06000474
Slbp	0.519	-0.05257794
Crybb3	0.519	-0.06636529
Pinlyp	0.519	-0.06192482
Tmem89	0.519	-0.07264367
Olfr822	0.519	0.04272255
Nedd1	0.519	0.08280003
Gm13213	0.519	0.0595012
Hamp2	0.519	0.12711437
Rltpr	0.519	0.05054552
3425401B19Rik	0.519	0.10821064
Rpl27a	0.52	0.08051997
Kat5	0.52	-0.06401169
Slc6a18	0.52	0.06292134
Gipc3	0.52	-0.05324363
Pla2g12a	0.52	-0.10700836
Gm8884	0.52	-0.06952814
Rsf1	0.52	0.07186495
Ubr3	0.52	-0.08217497
Olfr1298	0.52	-0.047042
Mx1	0.52	0.08542561
A730017C20Rik	0.52	-0.0680229
Snord34	0.52	-0.05803631
Tbc1d22b	0.52	-0.06609065
Marc1	0.52	-0.0589309
Tdpoz3	0.52	-0.05168014
Ubxn1	0.52	-0.06973796
Cdc123	0.521	-0.04679148
Vmn2r77	0.521	-0.05350554
Gm3286	0.521	-0.05276176
Zfp534	0.521	0.07088882
Gm12070	0.521	-0.04407108
Sncaip	0.521	0.10033032
Vstm5	0.521	-0.0595429
Crip1	0.522	-0.15643486
Mettl13	0.522	-0.04916094
Usp51	0.522	-0.07221551
Gm10575	0.522	0.08602654
Ppp1r16a	0.522	0.06984858
Cstf2t	0.522	0.0567552
Stx19	0.522	-0.0583342
Gm12070	0.522	-0.04586209
Qtrt1	0.522	0.06597036
Dnah3	0.522	0.07345412
Olfr10	0.522	-0.07191292
B9d1	0.522	0.06575697
H2-M3	0.522	0.07661413
Taf6	0.522	0.06117925
Rbm10	0.522	-0.04830995
Olfr502	0.522	-0.0625059
Oaf	0.522	0.06162311
Nat3	0.522	-0.06017746
Ino80	0.523	0.11559992
Gm28042	0.523	0.07581287
Ino80	0.523	0.11994793
7120432I05Rik	0.523	-0.07251712
Ddx20	0.523	-0.06639265
Olfr127	0.523	0.05099317
Olfr748	0.523	-0.06049417
Arf4os	0.523	-0.08265246
Rabl3	0.523	-0.05672808
Upk1a	0.523	-0.08120218
Gimap9	0.523	0.05506965
Tmem106c	0.523	0.07267788
Sgol1	0.523	0.05377975
Olfr1120	0.523	-0.04292026
Olfr934	0.523	0.04884417
Zfp507	0.524	0.06476214
4933402J07Rik	0.524	0.06287049
Gstt2	0.524	0.11591002
Defb37	0.524	-0.05791013
Gm10667	0.524	-0.0561671
Olfr342	0.524	-0.04383671
Ano4	0.524	0.10623592
4930447A16Rik	0.524	-0.06390698
Cnot4	0.524	-0.05740248
Gm13769	0.524	-0.06863219
Gm13769	0.524	-0.06863219
Zfp57	0.525	0.0532145
Arntl	0.525	-0.24776434
Dsg3	0.525	-0.06529666
Celsr1	0.525	-0.05164894
Ptrh1	0.525	0.05758778
Vps51	0.525	0.04652044
Zfp120	0.525	0.07797225
Rpl24	0.525	-0.12475293
Olfr1131	0.525	0.05213268
Olfr151	0.525	-0.06290447
4930558J22Rik	0.525	-0.08450595
Gm9866	0.525	0.06967344
Mettl7a1	0.525	0.09826801
Arf1	0.525	0.05536143
4930579G18Rik	0.525	-0.0943809
Gpx5	0.525	-0.06681557
Gm12070	0.525	-0.04004463
Gm12070	0.525	-0.04004463
Gm12070	0.525	-0.04004463
Gm12070	0.525	-0.04004463
Gm12070	0.525	-0.04004463
Aknad1	0.526	0.08099773
Gart	0.526	-0.06440484
Vmn1r238	0.526	-0.04783709
Rftn2	0.526	0.06749461
Gabrr2	0.526	0.05147344
Olfr44	0.526	-0.04504835
Zfp422	0.526	0.09393357
Taf11	0.526	-0.05951894
Ech1	0.526	-0.08244324
Dvl1	0.527	-0.06726488
Sfmbt2	0.527	-0.06240871
Mtif3	0.527	-0.07399916
Gm9856	0.527	0.05939316
D130050E23Rik	0.527	-0.06410901
Gm12070	0.527	-0.04126654
Tmem88	0.527	-0.08891173
Megf6	0.527	-0.06989003
Olfr983	0.527	-0.05633323
Ctsd	0.527	-0.06182421
Gm10662	0.527	-0.06758406
Gm10662	0.527	-0.06758406
Dusp15	0.527	-0.06013946
Tpm2	0.527	-0.03996527
Nfkb1	0.527	0.04497996
2310030G06Rik	0.527	0.10119783
Wfdc17	0.527	0.08331021
Acer2	0.528	-0.08110473
Hydin	0.528	-0.05184332
Gucy1a2	0.528	0.08599063
Oaz3	0.528	-0.06438838
Aplp2	0.528	0.08811885
Olfr716	0.528	-0.05351941
Gm10723	0.528	-0.06017463
Impdh2	0.528	0.06019488
Crispld2	0.528	-0.07975787
Gm10067	0.528	-0.07085929
Kti12	0.528	-0.06676764
Gm20871	0.528	-0.05913722
Tk2	0.528	0.05660178
Gle1	0.528	-0.05075416
Slc16a9	0.528	-0.04786701
Mir449c	0.529	-0.05159166
Haus4	0.529	-0.06525664
Ip6k1	0.529	-0.04390446
Fmr1os	0.529	-0.07321112
Xrra1	0.529	-0.0579204
Cks1brt	0.529	-0.07352431
Coil	0.529	-0.09233987
Tmprss11c	0.529	-0.05132655
Gprin2	0.529	-0.0652448
Olfr15	0.529	0.09691577
Mthfd1	0.529	-0.05848027
Serpinb3c	0.529	-0.05618549
Gm10283	0.529	-0.05768808
Clcf1	0.529	0.07910606
Ccdc18	0.529	-0.05500311
Gm10399	0.53	-0.06838337
Scarb1	0.53	0.11524678
Lsm3	0.53	0.11123574
Hmox1	0.53	0.10056543
Bnip3	0.53	-0.05918463
Ccdc120	0.53	-0.07606533
Wdr20rt	0.53	0.0553107
Psmc1	0.53	-0.05036376
2700094K13Rik	0.53	-0.07420657
Zfp94	0.53	-0.06502075
Gm10751	0.53	-0.09093526
Gm11559	0.531	0.06248709
Ago4	0.531	-0.08560628
Vimp	0.531	-0.0675142
Vangl2	0.531	0.06648064
Ptch1	0.531	-0.10550454
Rundc3b	0.531	0.05086084
Clns1a	0.531	-0.05808039
Ifna4	0.531	0.05259692
Pafah1b1	0.531	-0.05596267
Car4	0.531	-0.12839458
Gpha2	0.531	0.07390201
Slc39a11	0.531	-0.05675751
Ptcra	0.531	-0.08116608
9230109A22Rik	0.531	0.04590483
Lalba	0.531	-0.08268567
Olfr1044	0.531	0.04466077
Tnfsf13b	0.531	-0.07406601
Iqce	0.531	-0.0557532
Pappa2	0.531	0.11757817
Mir697	0.532	0.08652608
Rgs1	0.532	-0.05629891
Ddx51	0.532	0.07178185
Ccdc87	0.532	-0.06129095
Dusp10	0.532	-0.11986218
Gm10844	0.532	0.05821501
Vmn1r95	0.532	-0.05211133
2310079G19Rik	0.532	-0.06565994
Cdh6	0.532	-0.08096082
Jmjd6	0.532	0.05873443
Mbnl2	0.533	0.05570987
Abcb5	0.533	-0.05215235
Megf6	0.533	0.05327122
Tas2r139	0.533	-0.05114701
Dnah7c	0.533	0.05999576
Gpank1	0.533	-0.07610702
Gm10494	0.533	-0.06263199
Timp2	0.533	0.0708297
Cpsf3l	0.533	0.08103622
Wdr18	0.533	-0.08682687
BC117090	0.533	0.05748668
Hist1h2bb	0.533	0.089606
Tcf7l2	0.533	0.07543697
Gcnt3	0.534	-0.06591977
Gm17509	0.534	-0.0738196
Vmn1r95	0.534	-0.04704966
Gm7358	0.534	0.05279685
Eral1	0.534	-0.13341454
Ccdc129	0.534	0.0560728
Emc3	0.534	-0.04797957
Actr6	0.534	0.069431
Ubl4b	0.534	0.05501724
Hpdl	0.534	-0.08021471
Olfr1408	0.535	-0.04836725
S100a7a	0.535	-0.05473031
Fam132b	0.535	0.08367929
Olfr1211	0.535	-0.04421257
Snora75	0.535	-0.10260806
Gm8580	0.535	0.06006196
Tsen15	0.535	-0.08615991
Olfr1281	0.535	-0.04604924
Gm9744	0.535	-0.05967671
Olfr376	0.535	-0.07686017
Grap2	0.535	-0.05915063
Vrk1	0.535	0.05442516
Dnajb7	0.535	-0.07831832
Rhox7a	0.536	-0.05071786
Cngb3	0.536	0.03826806
Zc3h14	0.536	-0.04556213
Mmrn2	0.536	-0.09804364
Uba1y	0.536	-0.0772456
Foxred2	0.536	0.06564683
Zfp560	0.536	-0.06459115
Olfr352	0.536	-0.06193944
Ccdc137	0.536	-0.0699685
1810062O18Rik	0.536	0.07706108
2810006K23Rik	0.536	0.07447918
Crmp1	0.537	-0.06211441
Ccdc144b	0.537	-0.05890888
Hist1h4m	0.537	0.06890185
Tmed2	0.537	0.04025125
Olfr707	0.537	-0.06727833
Vmn2r16	0.537	-0.04984446
Gm24148	0.537	-0.09647308
Rps15a-ps6	0.537	0.10750159
Mbnl3	0.537	0.05575233
Wnt1	0.537	-0.0674281
Atp6ap1	0.537	0.08277134
G530011O06Rik	0.537	0.14443704
Iglv1	0.537	-0.03932587
E130114P18Rik	0.537	-0.0711508
Rnf222	0.537	-0.08240613
Chrna9	0.537	0.08696545
B3gnt8	0.538	-0.04930864
Pdzrn4	0.538	0.06243924
Corin	0.538	-0.07017523
Diablo	0.538	0.04434243
Xrcc3	0.538	0.06835138
Gm12070	0.538	-0.04443154
Lmf1	0.538	-0.10061899
Exosc1	0.538	0.06668305
Hectd1	0.539	0.08339194
Pip5k1a	0.539	-0.06313362
Cfap43	0.539	-0.07846354
Snord85	0.539	-0.12638307
Gphb5	0.539	-0.06827055
Rasl12	0.539	0.07547232
Purb	0.539	0.08444852
4933401B06Rik	0.539	-0.04902262
Topors	0.539	0.09084987
Kalrn	0.539	0.06624245
Zkscan7	0.539	0.09540796
Ear6	0.539	0.10055852
Nipal2	0.539	0.04290985
Ino80	0.539	0.11681454
Ino80	0.539	0.11681454
Ino80	0.539	0.11681454
Ino80	0.539	0.11681454
4732471J01Rik	0.539	-0.07338165
Zscan20	0.54	-0.05152903
Gm13274	0.54	-0.07585067
G6b	0.54	-0.05859543
Hist1h4m	0.54	0.06666895
Sumf1	0.54	0.05026456
Sgta	0.54	-0.05818037
Gpatch11	0.54	-0.0606173
AA986860	0.54	-0.05853106
Zfp692	0.54	-0.04276475
Pitrm1	0.54	-0.04935738
Igsf8	0.54	0.04317018
Ccdc25	0.54	-0.05637782
Armcx4	0.54	0.10531299
Fam166a	0.54	-0.04828502
Tmem171	0.54	-0.0783022
Smim15	0.541	0.07836284
Txk	0.541	-0.07765933
Zcchc14	0.541	0.05324481
Ssxb2	0.541	-0.05596303
Timm22	0.541	0.07004468
Pcyox1	0.541	0.07464413
Mos	0.541	-0.07215536
4931428F04Rik	0.541	-0.07714868
Gm42035	0.541	0.09446408
Alg1	0.541	0.0564917
Gm13884	0.542	-0.09717857
Ago2	0.542	0.07015286
Spag4	0.542	0.07479141
2700046A07Rik	0.542	-0.05941696
Mir713	0.542	-0.05556642
Odf4	0.542	-0.06787347
Aldh1b1	0.542	-0.05571125
Gm9779	0.542	0.07399295
Gm4884	0.542	0.05691359
Nyap1	0.542	-0.08101409
Tex37	0.542	-0.07312231
Ccr4	0.542	-0.05632683
Cep164	0.542	0.06107918
Olfr1208	0.542	-0.06823876
Olfr31	0.542	-0.05980003
Phf20l1	0.542	-0.05682693
Olfr250	0.542	-0.04679671
March11	0.543	-0.05731203
Cc2d2a	0.543	0.06478713
Prelp	0.543	0.07954294
Dnah3	0.543	0.07773514
Olfr1393	0.543	-0.05928282
Aspa	0.543	-0.10247255
Pde9a	0.543	-0.07667031
Mir713	0.543	-0.07240298
Il10	0.543	-0.05184558
Gm10822	0.543	-0.0611931
Grin3b	0.543	-0.06182554
Ighg3	0.544	-0.05506887
Akap4	0.544	0.06062909
Rpl24	0.544	-0.11476411
Cldn34b2	0.544	-0.09538637
Cdk9	0.544	-0.05006638
Krtap11-1	0.544	-0.06472426
4930533L02Rik	0.545	-0.0658226
Slit1	0.545	-0.06046966
Colgalt2	0.545	-0.07354802
Slc19a1	0.545	0.06135472
B230354O11Rik	0.545	-0.06456812
Slc35b1	0.545	0.07157963
Nutm1	0.545	-0.06779373
Dio3	0.545	0.07340235
Hbs1l	0.545	-0.04822893
Cryl1	0.545	-0.05560744
Gm4787	0.545	0.11936031
6030458C11Rik	0.545	-0.05494599
Gm10512	0.546	-0.06059154
Inha	0.546	-0.08605251
Adam33	0.546	0.05924618
Ighv1-53	0.546	-0.04595514
Spire2	0.546	-0.06295317
Trim27	0.546	-0.04621279
Bbs4	0.546	0.09914953
Cd37	0.546	0.06587658
Vmn2r51	0.546	0.04540662
4933434E20Rik	0.546	-0.07194658
AW112010	0.546	0.09229928
Lcn2	0.546	0.17352498
Mlph	0.546	0.05286851
9930004E17Rik	0.546	0.08060734
Gm10530	0.546	-0.05778097
Ibsp	0.547	-0.11367652
Ell3	0.547	-0.04660909
Zfp865	0.547	0.04442616
Cdhr5	0.547	0.06271121
Scgb2b27	0.547	-0.04914366
Zcchc11	0.547	-0.06520396
Gm1971	0.547	-0.08843798
Sytl3	0.547	-0.06021468
Olfr710	0.547	-0.04811406
Sepp1	0.548	0.04824514
Cptp	0.548	-0.08815037
Dhtkd1	0.548	-0.05672018
Ier3	0.548	-0.09745332
Ceacam10	0.548	-0.06666496
LOC102638183	0.548	0.07628597
Dcdc5	0.548	-0.07244557
Entpd5	0.548	-0.07984053
Pkig	0.548	-0.08229086
Actg2	0.549	-0.09308438
Sh3tc2	0.549	-0.04834905
Acat2	0.549	-0.07835482
Col5a3	0.549	0.06240885
Vti1a	0.549	0.05784308
Xkr6	0.549	-0.06024648
Tas2r118	0.549	-0.05290366
Vmn2r-ps54	0.549	0.06221255
Vmn2r-ps54	0.549	0.06221255
Gm10538	0.549	-0.08516625
Rab10os	0.549	0.07322037
N4bp2l1	0.55	-0.05884146
Tmprss15	0.55	-0.04573526
Eva1b	0.55	-0.04685384
Ppy	0.55	-0.06853012
Kif17	0.55	-0.06130901
Gm8580	0.55	0.06671806
Rps27rt	0.55	-0.09940938
Ly75	0.55	0.05216886
Rbm25	0.551	0.0516129
Ccl19	0.551	0.05272675
Ccl19	0.551	0.05272675
Gfpt1	0.551	-0.0825363
Tmem254b	0.551	0.16259175
Cdk2ap1	0.551	0.05189018
Gm4924	0.551	0.0484448
Gbf1	0.551	0.0637742
Ing1	0.551	-0.05623733
Hs3st3a1	0.551	0.06773623
Mrpl48	0.551	-0.04870673
Olfr597	0.551	0.06762226
LOC102631971	0.551	0.06270773
Snx31	0.552	-0.05601359
Nrn1	0.552	-0.07208401
Gm12070	0.552	-0.03866916
Gm16527	0.552	-0.07013146
Krt79	0.552	-0.07277844
Cyp4f40	0.552	-0.04773953
4933415A04Rik	0.552	-0.05113767
Olfr5	0.552	-0.08231771
Rbsn	0.552	-0.04762532
Vmn1r41	0.552	-0.05087161
Bcor	0.552	0.06794203
Adipor2	0.552	-0.0908246
Wfdc11	0.553	-0.04685052
Cpne6	0.553	-0.07484213
Map6	0.553	0.0586782
Olfr198	0.553	-0.07321553
Hdlbp	0.553	-0.05296536
Gm12191	0.553	0.12786676
Olfr1502	0.553	-0.069223
Prodh2	0.553	-0.07935508
Eprs	0.553	-0.07358843
Adarb1	0.554	0.05375488
Adrb3	0.554	0.15055767
Tmem50b	0.554	-0.09393863
Itpr3os	0.554	-0.06252686
Olfr1097	0.554	-0.05989876
Gbp7	0.554	-0.12433412
Ugt2b34	0.554	0.05945105
Olfr616	0.554	-0.05583627
Ccl19	0.554	0.05284858
Kap	0.554	0.06335568
Fgf2	0.555	0.05850583
Olfr881	0.555	-0.0487688
Kif6	0.555	-0.05631786
Spef2	0.555	-0.05738894
Atp5b	0.555	-0.04523552
Zfp143	0.555	0.06085297
Cyp2a22	0.555	-0.08440154
Mir489	0.555	-0.07777992
Psd	0.555	-0.04628503
Iba57	0.555	-0.04205867
Trat1	0.555	-0.0470741
Vmn1r30	0.555	-0.07342305
Rcc1	0.556	0.0479726
Olfr195	0.556	0.04695467
D430042O09Rik	0.556	-0.04632296
Nudt13	0.556	0.06956659
Abracl	0.556	0.09986589
Olfr297	0.556	-0.0561897
Irgq	0.556	-0.05486452
Tor1a	0.556	0.04780913
Cdk2ap1	0.556	0.05249584
Smcr8	0.556	-0.07117585
Olfr868	0.556	0.05421867
Ms4a4d	0.556	-0.08900955
Lrrn2	0.557	0.06674227
Krtap6-1	0.557	-0.05508527
Gdpd3	0.557	0.57633683
Grwd1	0.557	0.057115
Klk1b3	0.557	-0.04759048
Pde1b	0.557	0.04724929
9630013D21Rik	0.557	-0.07443983
Mks1	0.557	0.04663188
Pls1	0.557	0.05464146
Ccdc81	0.557	-0.05866018
Pax4	0.557	-0.05611254
Gm12070	0.557	-0.03729341
Olfr957	0.557	-0.07430699
Dcpp3	0.557	0.08591684
Bap1	0.558	-0.0762021
Hyal5	0.558	-0.05621421
Zscan30	0.558	-0.06578941
Usp17la	0.558	-0.04948996
Shank2	0.558	-0.08202789
Cryz	0.558	-0.05415272
Madd	0.558	0.04246051
Dmrtc1b	0.558	-0.06415992
Exosc3	0.558	-0.08357493
Phex	0.558	0.05927063
Habp4	0.558	-0.05277525
9330175E14Rik	0.558	-0.07121747
Hhla1	0.558	-0.04278341
1700034H15Rik	0.558	-0.07010771
Onecut2	0.558	-0.05131727
Zfp664	0.558	0.04884327
Ino80	0.558	0.11105387
Olfm5	0.559	-0.05967501
Dnajc13	0.559	0.0793966
Snx11	0.559	0.04278899
Rpl13	0.559	0.07786537
Alox5	0.559	0.0584498
Mblac1	0.559	0.05915917
Ptpn7	0.559	0.0461421
Olfr913	0.559	-0.0631211
Olfr902	0.559	-0.06067004
F830208F22Rik	0.559	-0.057259
Olfr1259	0.559	-0.06627529
Rbks	0.559	-0.04434569
Hacl1	0.559	0.07698453
Ssxb2	0.559	-0.0689961
Atp1b1	0.559	0.07943965
Tnfaip8l2	0.559	0.07121585
Gdpd1	0.559	-0.07823686
2810002D19Rik	0.56	-0.05454025
Ubqln1	0.56	-0.04883448
Scgb1c1	0.56	0.04516829
Stk10	0.56	0.12879266
Mir540	0.56	-0.06013398
Casp7	0.56	-0.04975791
Gm8580	0.56	0.05573973
Cntnap5a	0.56	-0.04657322
Arl6ip6	0.56	-0.08162217
Mpl	0.56	-0.06303344
BC051142	0.56	-0.05844352
1810010H24Rik	0.56	0.07682092
Ttpa	0.56	0.05127389
Defb22	0.56	-0.04998964
Dmrtc1c2	0.56	-0.07872288
Vmn1r228	0.56	-0.0633647
Cep72	0.56	-0.04943409
Olfr859	0.561	0.07052997
Dtd2	0.561	-0.05914856
Syngap1	0.561	0.04738256
Ino80	0.561	0.10922353
4930520O04Rik	0.562	-0.04945943
Vmn1r83	0.562	-0.04486298
Stum	0.562	0.05957438
Hspa1l	0.562	0.08838241
Rdh13	0.562	0.06246105
Wipf1	0.562	0.086396
Ky	0.562	-0.14545167
Luzp2	0.562	0.04635596
Btbd7	0.562	0.04826018
Gm35427	0.563	0.05888625
Mir142	0.563	-0.06640565
Kif4	0.563	0.06713302
Cdk5rap3	0.563	0.04949654
Zfp62	0.563	0.06997468
Tex16	0.563	0.04014669
Anxa3	0.563	-0.07954546
Mir331	0.563	-0.06725733
Trim72	0.563	0.08558448
Tmem132b	0.563	-0.05998011
Gm10662	0.563	-0.04703702
Gm10662	0.563	-0.04703702
Gm10662	0.563	-0.04703702
Ndufaf3	0.563	-0.06156195
Serpinb6b	0.564	-0.10303146
Avpr1a	0.564	0.08669783
Obox6	0.564	0.0736933
Ccdc169	0.564	-0.05368938
Gapdh	0.564	-0.03839272
Ccl19	0.564	0.05161529
Pglyrp3	0.564	-0.06382158
Rcvrn	0.564	-0.04814247
Aoc2	0.564	-0.0391585
LOC102640295	0.564	0.06024433
Gja1	0.564	0.09561708
Cd274	0.564	-0.11095235
Hectd3	0.564	0.05575977
Lncenc1	0.564	-0.05602124
H2-M5	0.564	-0.09649907
Cxcr3	0.564	0.05412144
Uros	0.564	-0.05624181
Krr1	0.564	-0.05358526
Unc13d	0.564	-0.06222281
Necab2	0.565	-0.06163825
Zfp12	0.565	-0.06168608
Gpr4	0.565	0.07894344
Tmbim6	0.565	-0.04054499
Ifnk	0.565	-0.05546102
Cstl1	0.565	0.06303023
Ssxb10	0.565	-0.05015448
Fam170b	0.565	0.05013582
Ppp1r11	0.565	-0.06880194
Secisbp2	0.565	0.0469002
Zfp446	0.565	-0.05566552
Ccr1l1	0.565	-0.05610061
C1rl	0.565	-0.07091476
Map3k4	0.565	-0.05955428
Scnn1b	0.566	0.05907377
1700025O08Rik	0.566	-0.05164213
LOC101055758	0.566	0.05692406
Trav7d-4	0.566	0.09131976
Aifm1	0.566	-0.08584574
Palb2	0.566	-0.04497125
Pisd-ps2	0.566	-0.0637745
Olfr497	0.567	-0.07394165
2310039H08Rik	0.567	-0.08969398
Fhod3	0.567	-0.06725158
Csnk1g2	0.567	-0.04985266
Mnd1-ps	0.567	-0.06190928
Hmcn1	0.567	-0.06092578
Orai3	0.567	-0.04577795
Snord52	0.567	0.06755406
BC029722	0.567	-0.05952422
Ism2	0.567	-0.0626987
Rpl13	0.567	0.07531588
Rad21l	0.568	-0.04874289
Dusp1	0.568	0.1180715
Supt4b	0.568	0.05815625
Gm14168	0.568	-0.07394718
Ticam2	0.568	-0.07745282
Sh3kbp1	0.568	0.05700658
Hars2	0.568	0.08260237
Heatr6	0.568	0.04863661
Trpm2	0.568	-0.04068688
Olfr1410	0.568	-0.05005539
Mir709	0.568	-0.06244502
Mus81	0.568	-0.0616231
Olfr1284	0.569	-0.06219466
Nlrc5	0.569	-0.06140769
Cdk7	0.569	-0.04228038
Nlrc5	0.569	-0.08140761
Olfr968	0.569	-0.04402251
Vmn2r25	0.569	0.07372489
3425401B19Rik	0.569	0.0774014
4933411G06Rik	0.569	-0.04623183
H2-Ob	0.569	0.06476584
Lcorl	0.57	0.06822044
Olfr979	0.57	0.04255008
Gm20871	0.57	-0.05594305
Gm10854	0.57	-0.05009671
Ccdc159	0.57	0.04355186
Limk2	0.57	0.0455592
Sptlc1	0.57	0.06731526
Foxk1	0.57	0.06033478
Sipa1l2	0.57	0.05900925
Efnb2	0.57	-0.09200485
Fam135b	0.57	-0.06371226
Olfr740	0.571	-0.0457682
Myo7b	0.571	-0.04780781
Olfr830	0.571	0.05477993
Gsg2	0.571	0.05483627
Cryba4	0.571	-0.05486887
Gabra1	0.571	-0.08523386
Olfr1085	0.571	0.07798389
Olfr1018	0.571	0.07604647
D1Pas1	0.571	-0.06020989
Bin3	0.571	0.0423316
Nek3	0.571	-0.06222457
Fbxw11	0.571	-0.06031679
Wnk3	0.571	0.05881509
Defb6	0.572	-0.04805444
1700025F22Rik	0.572	-0.05323726
Dnaaf5	0.572	0.10704302
LOC102637269	0.572	-0.10139673
Olfr495	0.572	-0.06335645
Hspa9	0.572	-0.05834525
Sft2d2	0.572	-0.04994767
Lrr1	0.572	0.04839762
Rpe65	0.572	-0.04289852
St8sia4	0.573	-0.10857471
Iars	0.573	-0.07091931
Olfr1065	0.573	-0.05140202
Atxn7l2	0.573	-0.05671808
Catsperb	0.573	0.04637862
Tmem79	0.573	-0.08942982
Serpinb13	0.573	-0.05460514
Serpinb1b	0.573	0.05201787
Anapc4	0.573	0.04474736
Treml2	0.573	-0.04887903
Lypd1	0.573	-0.05924436
Egf	0.573	0.1352718
Msl1	0.573	-0.04459932
Slc25a38	0.574	-0.08348651
Nell1	0.574	-0.07308017
Apex2	0.574	-0.07328085
Fbxo46	0.574	-0.05707743
LOC102633596	0.574	0.04513865
Nfatc2ip	0.574	0.07381809
Lamtor5	0.574	-0.06951013
Polh	0.574	0.07281809
Mylip	0.574	0.11321465
Jakmip2	0.574	-0.04361245
4930447F04Rik	0.574	0.04388594
Olfr493	0.574	-0.05485415
Uso1	0.575	0.06312042
Olfr459	0.575	-0.05206781
BC049730	0.575	-0.06726395
Pafah1b3	0.575	0.06472296
